qseqid,frequency
"Dinoroseobacter shibae strain DFL 12 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone BYL38-92 16S ribosomal RNA gene, partial sequence",2
"Weissella confusa strain LM1 chromosome, complete genome",38
"Klebsiella michiganensis strain 8-1 chromosome, complete genome",38
"Proteus mirabilis strain PM1162 chromosome, complete genome",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XII,41
"Rhodoluna lacicola strain MWH-Ta8 chromosome, complete genome",1
"Rubrivivax gelatinosus strain IL144 23S ribosomal RNA gene, complete sequence",2
"Uncultured bacterium clone F5K2Q4C04JQ8L6 23S ribosomal RNA gene, partial sequence",1
"Neotabrizicola shimadae strain N10 chromosome, complete genome",1
"Weissella hellenica strain MBEL1842 chromosome, complete genome",9
"Zymomonas mobilis strain ZM481 chromosome, complete genome",1
"Synura petersenii strain Youngji101407A 28S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain B1235 16S ribosomal RNA gene, partial sequence",1
"Aureimonas altamirensis strain C2P003 chromosome, complete genome",5
"Herbaspirillum sp. strain CNPSo 3985 16S ribosomal RNA gene, partial sequence",1
"Ruegeria pomeroyi strain DSS-3-B chromosome, complete genome",1
"Salmonella enterica subsp. enterica serovar Indiana strain YZ21MCS4 chromosome, complete genome",3
"Weissella confusa strain 19104 16S ribosomal RNA gene, partial sequence",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 1, complete sequence",6
"Ruania halotolerans strain M4N3S171 chromosome, complete genome",1
"Acinetobacter calcoaceticus strain ARu19 chromosome, complete genome",3
"Uncultured bacterium clone Pia-s-55 16S ribosomal RNA gene, partial sequence",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 2, complete sequence",3
"Uncultured bacterium partial 16S rRNA gene, clone EBP0168",2
"Homo sapiens BAC clone CH17-267E14 from chromosome 16, complete sequence",1
"Escherichia coli strain 5-1 chromosome, complete genome",38
"Uncultured bacterium clone BloS7-012 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum seropedicae strain SmR1 23S ribosomal RNA gene, complete sequence",5
"Cyclidiopsis acus 5S ribosomal RNA and SL-RNA genes, complete sequence",1
"Sorangium cellulosum strain So ce 56 23S ribosomal RNA gene, complete sequence",1
Homo sapiens isolate CHM13 chromosome 17,5
"Uncultured bacterium clone F5K2Q4C04I9PAA 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone KD2-110 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens haplogroup H3v+16093 mitochondrion, complete genome",12
"Uncultured bacterium clone WIR12Fasth8_8911 16S ribosomal RNA gene, partial sequence",1
"Citrobacter portucalensis strain K218 chromosome, complete genome",2
"Burkholderia thailandensis USAMRU Malaysia #20 chromosome 1, complete sequence",3
"Niveibacterium microcysteis strain HC41 chromosome, complete genome",1
"Aquisediminimonas profunda strain DS48-3 chromosome, complete genome",1
"Massilia antarctica strain P8398 chromosome, complete genome",1
"Chromobacterium haemolyticum strain WI5 chromosome, complete genome",3
"Homo sapiens sorting nexin 10 (SNX10), RefSeqGene on chromosome 7",1
