qseqid,frequency
No_Species,43
"hypothetical protein EA95_02947, partial [Enterococcus faecium]",3
hypothetical protein HMPREF9348_05085 [Escherichia coli MS 145-7],1
Uncharacterised protein [Haemophilus parainfluenzae],1
hypothetical protein GCM10011374_41680 [Kocuria dechangensis],1
ATP-dependent DNA helicase [Asticcacaulis excentricus],1
hypothetical protein SRAA_2358 [Serpentinimonas raichei],2
"hypothetical protein FTRO_0420010, partial [Fructobacillus tropaeoli]",1
"hypothetical protein G765_00202, partial [Escherichia coli HVH 104 (4-6977960)]",1
unnamed protein product [Anisakis simplex],2
type VI-B CRISPR-associated RNA-guided ribonuclease Cas13b [Bacteroides pyogenes],1
hypothetical protein A8B94_11150 [Bordetella pertussis],5
hypothetical protein CE425_20440 [Salmonella enterica subsp. enterica serovar Senftenberg],1
hypothetical protein BUL36_24735 [Vibrio parahaemolyticus],1
MULTISPECIES: NRDE family protein [unclassified Burkholderia],1
"hypothetical protein AZ005_002580, partial [Escherichia coli]",2
conserved hypothetical protein [Rhodococcus sp. RD6.2],3
unnamed protein product [Brugia timori],2
conserved hypothetical protein [Thiomonas sp. CB2],4
hypothetical protein OIDMADRAFT_46664 [Oidiodendron maius Zn],2
hypothetical protein Csp_D29570 [Curvibacter putative symbiont of Hydra magnipapillata],1
"hypothetical protein CEW46_33100, partial [Bacillus cereus]",2
"Putative cytochrome c, class I [Candidatus Nitrosacidococcus tergens]",3
TPA: polypyrimidine tract binding protein 2-like [Bos taurus],3
Lipoprotein [Lacticaseibacillus rhamnosus GG],1
"hypothetical protein BVRB_033130, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein GCM10010985_61530 [Caballeronia grimmiae],2
hypothetical protein G6F57_018615 [Rhizopus arrhizus],4
hypothetical protein HMPREF9348_05618 [Escherichia coli MS 145-7],2
Cell wall-associated hydrolase [Burkholderia cenocepacia],7
"hypothetical protein J6590_107792, partial [Homalodisca vitripennis]",2
hypothetical protein CO715_25010 [Escherichia coli M12],2
hypothetical protein IV68_GL001062 [Weissella halotolerans DSM 20190],1
"Chain A, CRISPR-associated RAMP family protein",50
"cell wall-associated hydrolase, partial [Phaeodactylum tricornutum]",1
hypothetical protein (mitochondrion) [Botryococcus braunii],1
hypothetical protein PITC_031410 [Penicillium italicum],1
"hypothetical protein, partial [Thomasclavelia ramosa]",3
hypothetical protein MELLADRAFT_94971 [Melampsora larici-populina 98AG31],1
hypothetical protein CBM2615_A240340 [Cupriavidus taiwanensis],1
"hypothetical protein, partial [Proteus mirabilis]",2
hypothetical protein VIBHAR_00001 [Vibrio campbellii ATCC BAA-1116],2
hypothetical protein MASSI9I_51248 [Massilia sp. 9I],1
hypothetical protein IST495A_06013 [Burkholderia multivorans],6
hypothetical protein Lal_00014931 [Lupinus albus],3
conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578],8
hypothetical protein BURKHO8Y_210442 [Burkholderia sp. 8Y],1
hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata],11
"Hypothetical predicted protein, partial [Lynx pardinus]",1
cell wall-associated hydrolase [uncultured bacterium A1Q1_fos_4],1
type III-E CRISPR-associated gRAMP effector Cas7-11 [Desulfonema ishimotonii],1
hypothetical protein CCYN49044_650001 [Capnocytophaga cynodegmi],1
MAG: hypothetical protein E5W30_00835 [Mesorhizobium sp.],3
SRPBCC domain-containing protein [Phyllobacterium calauticae],1
hypothetical protein WEIDD23_02092 [Weissella sp. DD23],8
