qseqid,frequency
hypothetical protein SAMN05443582_1226 [Phyllobacterium sp. OV277],2
"hypothetical protein, partial [Massilia oculi]",1
"acetyl-CoA C-acyltransferase, partial [Burkholderia sp. LMG 13014]",1
"Chain A, CRISPR-associated RAMP family protein",44
hypothetical protein BLA3211_03447 [Burkholderia aenigmatica],1
hypothetical protein Lal_00008596 [Lupinus albus],6
"MAG: hypothetical protein FD188_1619, partial [Ignavibacteria bacterium]",1
hypothetical protein CE425_25025 [Salmonella enterica subsp. enterica serovar Senftenberg],4
hypothetical protein [uncultured Chromatiales bacterium HF0200_41F04],1
hypothetical protein A4T35_22435 [Escherichia coli],2
hypothetical protein SMU60_09878 [Streptococcus mutans U138],1
hypothetical protein APU01nite_24020 [Alkalibacterium putridalgicola],2
hypothetical protein PTKU64_89500 [Paraburkholderia terrae],2
glycosyltransferase [Aquabacterium sp. OR-4],1
conserved hypothetical protein [Enterococcus faecalis T3],1
No_Species,30
hypothetical protein HMPREF0549_0166 [Limosilactobacillus vaginalis DSM 5837 = ATCC 49540],2
conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578],9
hypothetical protein BMULJ_05092 [Burkholderia multivorans ATCC 17616],3
"uncharacterized protein BO70DRAFT_408590, partial [Aspergillus heteromorphus CBS 117.55]",1
TPA_inf: olfactory receptor OR6-12 [Homo sapiens],1
hypothetical protein AGABI2DRAFT_121457 [Agaricus bisporus var. bisporus H97],1
"hypothetical protein HMPREF0693_3788, partial [Proteus mirabilis ATCC 29906]",1
hypothetical protein GCM10010946_36730 [Undibacterium squillarum],2
conserved hypothetical protein [Cupriavidus taiwanensis],2
hypothetical protein G653_04291 [Candidatus Liberibacter americanus PW_SP],4
"hypothetical protein AZZ61_004112, partial [Klebsiella variicola]",1
"hypothetical protein CWB66_17895, partial [Pseudoalteromonas sp. S558]",1
hypothetical protein Lal_00014961 [Lupinus albus],2
"hypothetical protein J761_4007, partial [Acinetobacter baumannii 24845_8]",2
Uncharacterized protein BN1183_AB_00600 [Pantoea ananatis],1
hypothetical protein B566_EDAN011676 [Ephemera danica],4
hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata],16
"hypothetical protein HMPREF9333_01138, partial [Johnsonella ignava ATCC 51276]",2
"hypothetical protein CBFG_06255, partial [Clostridiales bacterium 1_7_47FAA]",1
"hypothetical protein BVRB_019370, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein Lal_00009654 [Lupinus albus],1
"hypothetical protein BVRB_037930, partial [Beta vulgaris subsp. vulgaris]",1
hypothetical protein DM77_3244 [Burkholderia mallei],1
"hypothetical protein, partial [Bacillus mediterraneensis]",3
hypothetical protein UTI89_C3718 [Escherichia coli UTI89],1
conserved hypothetical protein [Agrobacterium genomosp. 2 str. CFBP 5494],1
hypothetical protein HMPREF9349_05396 [Escherichia coli MS 79-10],1
lipoprotein [Bacillus stratosphericus LAMA 585],1
hypothetical protein IST4131_06855 [Burkholderia cenocepacia],5
"hypothetical protein, partial [Bifidobacterium breve]",2
uncharacterized protein YLR157C-C [Saccharomyces cerevisiae S288C],4
"hypothetical protein ANHYDRO_00301, partial [Anaerococcus hydrogenalis DSM 7454]",1
hypothetical protein DAPPUDRAFT_267663 [Daphnia pulex],1
"hypothetical protein C3J82_28875, partial [Klebsiella pneumoniae subsp. pneumoniae]",2
hypothetical protein C1645_133682 [Glomus cerebriforme],2
hypothetical protein A8B94_11150 [Bordetella pertussis],8
hypothetical protein Lal_00015017 [Lupinus albus],5
"MAG: cytochrome c oxidase subunit 3, partial [Comamonadaceae bacterium]",1
MULTISPECIES: alpha-ketoacid dehydrogenase subunit beta [Planococcus],1
"hypothetical protein AZZ99_004278, partial [Serratia marcescens]",1
"hypothetical protein HKBW3S03_01828, partial [Candidatus Hakubella thermalkaliphila]",1
hypothetical protein E1956_42610 (plasmid) [Paraburkholderia pallida],3
hypothetical protein [Escherichia coli],5
"hypothetical protein, partial [Streptococcus parasanguinis]",4
"hypothetical protein C3J94_28580, partial [Klebsiella pneumoniae subsp. pneumoniae]",1
unnamed protein product [Brugia timori],4
hypothetical protein G6F50_014710 [Rhizopus delemar],1
hypothetical protein CAP31_13600 [Sulfuriferula sp. AH1],1
hypothetical protein HMPREF0513_01840 [Limosilactobacillus fermentum 28-3-CHN],2
hypothetical protein [Methylomonas fluvii],1
unnamed protein product [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432],1
hypothetical protein L798_09058 [Zootermopsis nevadensis],1
hypothetical protein PROSTU_00109 [Providencia stuartii ATCC 25827],1
RecName: Full=Putative uncharacterized protein YLR154W-B,1
hypothetical protein HALTITAN_3298 [Halomonas titanicae BH1],1
hypothetical protein Lal_00014866 [Lupinus albus],7
hypothetical protein [uncultured bacterium A1Q1_fos_4],4
hypothetical protein Lal_00014931 [Lupinus albus],1
putative uncharacterized protein [Escherichia coli],2
hypothetical protein MTR_7g031847 [Medicago truncatula],4
