qseqid,frequency
"Serratia symbiotica clone 21.8 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",2
"Acinetobacter calcoaceticus strain ARu19 chromosome, complete genome",37
"Uncultured bacterium clone ncd2029a10c1 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain G3/10 chromosome, complete genome",2
D.iridis LSU rRNA gene,3
"Phyllobacterium sp. T1018 chromosome, complete genome",163
"Comamonadaceae bacterium M7527 chromosome, complete genome",42
"Uncultured proteobacterium gene for 16S rRNA, partial sequence, isolate: sd-jx51",1
"Herbaspirillum frisingense strain IAC152 chromosome, complete genome",52
"Paraburkholderia fungorum strain PT315 16S ribosomal RNA gene, partial sequence",31
"Pedobacter heparinus strain DSM 2366 23S ribosomal RNA gene, complete sequence",1
"Ralstonia wenshanensis strain 56D2 chromosome, complete genome",182
"Escherichia coli strain 5-1 chromosome, complete genome",265
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 2, complete sequence",14
"Escherichia coli O157:H7 strain M1300706001A chromosome, complete genome",50
"Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628, complete genome",14
"Uncultured beta proteobacterium clone O-5-16 16S ribosomal RNA gene, partial sequence",12
"Stenotrophomonas maltophilia strain 2013-SM13 chromosome, complete genome",7
"Uncultured bacterium clone 24DCMB12 16S ribosomal RNA gene, partial sequence",3
"Serratia ureilytica strain JBIWA004 chromosome, complete genome",53
"Uncultured bacterium clone B588 16S ribosomal RNA gene, partial sequence",1
"Weissella cibaria strain W.ciberia 16S ribosomal RNA gene, partial sequence",8
"Burkholderia sp. strain PSB3 16S ribosomal RNA gene, partial sequence",25
"Pandoraea pnomenusa strain 3kgm 23S ribosomal RNA gene, complete sequence",35
"Ferribacterium limneticum strain 76 chromosome, complete genome",9
"Cupriavidus pinatubonensis strain HN-2 chromosome 2, complete sequence",1
"Rhizoclosmatium sp. JEL347-h isolate AFTOL-ID 20 28S ribosomal RNA gene, partial sequence",1
"Burkholderia ambifaria strain B21-004 chromosome 3, complete sequence",176
"Uncultured bacterium clone F5K2Q4C04H9XZ1 23S ribosomal RNA gene, partial sequence",1
"Calycina marina strain TRa3180A small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Gemmatirosa kalamazoonesis strain KBS708 plasmid 2, complete sequence",1
"Rhodopseudomonas palustris strain TIE-1 23S ribosomal RNA gene, complete sequence",1
"Homo sapiens PPARgamma constitutive coactivator-1 (PGCC1) mRNA, complete cds",1
"Meles meles genome assembly, chromosome: 16",14
"Uncultured bacterium clone 4I1-15 16S ribosomal RNA gene, partial sequence",1
"Ideonella dechloratans strain CCUG 30977 chromosome, complete genome",141
"Delftia sp. Cs1-4 strain Cs1-4 23S ribosomal RNA, complete sequence",6
"Pseudomonas fluorescens strain LH71 16S ribosomal RNA gene, partial sequence",3
"Bacteriovorax marinus strain SJ 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone SPTFE2_599 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone QKAB3ZG101 16S ribosomal RNA gene, partial sequence",1
"Propionibacterium acnes hdn-1, complete genome",15
"Weissella cibaria strain CBA3636 chromosome, complete genome",52
"Paenacidovorax monticola strain KACC 19171 chromosome, complete genome",3
"Phyllobacterium sp. T1293 plasmid pT1293c, complete sequence",88
"Weissella confusa strain LM1 chromosome, complete genome",363
"Burkholderia vietnamiensis strain FDAARGOS_1590 chromosome 1, complete sequence",5
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XII,488
Homo sapiens isolate CHM13 chromosome 21,10
