qseqid,frequency
"Burkholderia ambifaria strain B21-004 chromosome 3, complete sequence",23
"Herbaspirillum frisingense strain IAC152 chromosome, complete genome",6
"Burkholderia cenocepacia strain toggle3 chromosome 3, complete sequence",1
Janthinobacterium sp. PLB04 chromosome,2
"Weissella confusa strain SM1 16S ribosomal RNA gene, partial sequence",2
"Ralstonia wenshanensis strain 56D2 chromosome, complete genome",13
"Rhizobium ruizarguesonis strain TA1 chromosome, complete genome",2
"Bacillus velezensis strain A4P130 chromosome, complete genome",1
"Weissella confusa strain LM1 chromosome, complete genome",7
"Chlorocebus aethiops BAC clone CH252-426F16 from chromosome 10, complete sequence",1
"Pandoraea pnomenusa strain 3kgm 23S ribosomal RNA gene, complete sequence",7
"Phyllobacterium sp. T1293 plasmid pT1293c, complete sequence",14
"Synthetic construct Homo sapiens clone ccsbBroadEn_15576 RPS2 gene, encodes complete protein",1
"Roseibacterium elongatum DSM 19469, complete genome",1
"Uncultured bacterium partial 16S rRNA gene, clone HWC10165",1
"Uncultured bacterium partial 16S rRNA gene, clone EBP1698",1
"Herbaspirillum sp. strain CNPSo 4064 16S ribosomal RNA gene, partial sequence",2
"Bosea massiliensis strain Tibetlhz-50 16S ribosomal RNA gene, partial sequence",2
"Cloning vector pgRNA-ccdB-2, complete sequence",1
"Uncultured bacterium clone Ad_B1269 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum seropedicae strain SmR1 23S ribosomal RNA gene, complete sequence",10
"Serratia marcescens strain ST212 16S ribosomal RNA gene, partial sequence",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_05254 ZUFSP gene, encodes complete protein",1
"Phyllobacterium sp. T1293 chromosome, complete genome",3
"Pinus densiflora clone pcPV3-1 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1
"Burkholderia sp. strain PSB3 16S ribosomal RNA gene, partial sequence",3
"Burkholderia territorii strain BD11-27 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens truncated DNA repair-associated protein (BRCA2) mRNA, complete cds",1
"PREDICTED: Mustela putorius furo chaperonin containing TCP1 subunit 8 (CCT8), transcript variant X2, mRNA",1
"Ruegeria pomeroyi strain DSS-3-B chromosome, complete genome",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XII,2
"Aureimonas altamirensis strain C2P003 chromosome, complete genome",2
"Klebsiella michiganensis strain 8-1 chromosome, complete genome",4
"Burkholderia ambifaria strain B21-006 chromosome 3, complete sequence",5
"Uncultured bacterium partial 16S rRNA gene, clone EBP0168",2
"Homo sapiens exosome component 7 (EXOSC7), transcript variant 2, non-coding RNA",1
"Ancalomicrobium adetum strain NBRC 102456 16S ribosomal RNA, partial sequence",1
Homo sapiens isolate CHM13 chromosome 17,2
"Bifidobacterium longum strain VHProbi Y08 chromosome, complete genome",1
"Uncultured bacterium clone s54 hrb2 gene cluster, complete sequence",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 1, complete sequence",3
"Rhodobacter sphaeroides 2.4.1 chromosome 2, complete sequence",1
"Burkholderia vietnamiensis strain RPB3 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens cDNA FLJ46649 fis, clone TRACH3004424, moderately similar to Zinc finger protein 91",1
"PREDICTED: Macaca fascicularis U2 snRNP associated SURP domain containing (LOC102146372), transcript variant X4, mRNA",1
"Uncultured soil bacterium clone GO0VNXF07INKFU 16S ribosomal RNA gene, partial sequence",1
"MAG: Alphaproteobacteria bacterium isolate Ejby_18-Q3-R6-50_MAXAC.200_cln chromosome, complete genome",1
"Meles meles genome assembly, chromosome: 20",1
"Burkholderia cenocepacia strain R-12632 genome assembly, chromosome: 1",1
"Burkholderia cenocepacia H111 chromosome 2, complete genome",1
"Collimonas pratensis strain MP-22 16S ribosomal RNA gene, partial sequence",2
"Homo sapiens adenosylmethionine decarboxylase 1 (AMD1), transcript variant 5, mRNA",1
"PREDICTED: Hordeum vulgare subsp. vulgare 28S ribosomal RNA (LOC123406832), rRNA",1
"Uncultured bacterium gene for 16S rRNA, partial sequence, clone: 9",1
"Uncultured bacterium clone Tat-08-001_100 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Cebus imitator Rac GTPase activating protein 1 (RACGAP1), transcript variant X9, mRNA",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 3, complete sequence",9
"Uncultured bacterium clone F5K2Q4C04H494S 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens BTB domain containing 3 (BTBD3), transcript variant 6, mRNA",1
"Uncultured Burkholderiales bacterium genes for 16S ribosomal RNA, tRNA-Ile, tRNA-Ala, 23S ribosomal RNA, partial and complete sequence, clone: G12",1
"Zoogloea oleivorans strain Buc 16S ribosomal RNA gene, partial sequence",1
"Weissella cibaria strain CBA3636 chromosome, complete genome",3
"Polymorphum gilvum strain SL003B-26A1 23S ribosomal RNA gene, complete sequence",1
"Serratia marcescens SM39 DNA, complete genome",3
"Ideonella dechloratans strain CCUG 30977 chromosome, complete genome",2
"Ferruginibacter albus strain KIS38-8 chromosome, complete genome",1
"Homo sapiens stonin 2 (STON2), transcript variant 5, mRNA",1
"Meles meles genome assembly, chromosome: 13",1
"Uncultured bacterium clone ASV_119 16S ribosomal RNA gene, partial sequence",1
"Pseudomonas fluorescens strain MDFPXXVIIE320a 16S ribosomal RNA gene, partial sequence",1
MAG: Phycisphaeraceae bacterium isolate H1_PLA1 chromosome,1
"Meles meles genome assembly, chromosome: 16",3
"Uncultured bacterium clone F5K2Q4C04JUV8B 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone s99 hrb2 gene cluster, complete sequence",3
"Sulfuricella denitrificans strain skB26 23S ribosomal RNA gene, complete sequence",1
"Flavobacterium ammonificans SHINM13 DNA, complete genome",1
"Sphingomonas sp. strain GR2756 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I5U58 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 3_49 16S ribosomal RNA gene, partial sequence",1
"Paraburkholderia fungorum strain PT315 16S ribosomal RNA gene, partial sequence",5
Homo sapiens isolate CHM13 chromosome 15,2
Ralstonia solanacearum strain UW251 chromosome,1
"Homo sapiens cyclin I (CCNI), transcript variant 7, mRNA",1
"Soliformovum expulsum culture-collection ATCC:48083 clone pool B 18S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis WD repeat domain 37 (WDR37), transcript variant X3, mRNA",1
"Uncultured bacterium clone F5K2Q4C04JXOXP 23S ribosomal RNA gene, partial sequence",1
"Eikenella corrodens strain FDAARGOS_1474 chromosome, complete genome",1
"Herbaspirillum huttiense strain 266 23S ribosomal RNA gene, partial sequence",6
"Homo sapiens retinoblastoma binding protein 5, mRNA (cDNA clone MGC:33095 IMAGE:5266066), complete cds",1
"Burkholderia thailandensis USAMRU Malaysia #20 chromosome 1, complete sequence",4
"Acidovorax sp. KKS102, complete genome",1
"Alicycliphilus denitrificans I51 DNA, complete genome",1
"Ferribacterium limneticum strain 132 chromosome, complete genome",1
Danio rerio strain T5D chromosome 4,3
"Snodgrassella alvi strain wkB2 23S ribosomal RNA gene, complete sequence",1
"Burkholderia sp. 2372 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Cebus imitator 60S ribosomal protein L26-like (LOC108290150), mRNA",1
"Agrobacterium tumefaciens strain 1D1104 chromosome 2, complete sequence",1
"Uncultured bacterium clone SEAB1CA091 16S ribosomal RNA gene, partial sequence",1
"Paenacidovorax monticola strain KACC 19171 chromosome, complete genome",1
Pantoea ananatis strain VY148 chromosome,1
"Meles meles genome assembly, chromosome: 19",1
"Uncultured bacterium clone F1Q32TO06GYV6R 16S ribosomal RNA gene, partial sequence",1
"Klebsiella michiganensis strain Kox101 chromosome, complete genome",1
"Synthetic construct Homo sapiens clone ccsbBroadEn_06254 hypothetical protein, encodes complete protein",1
"Homo sapiens discs large MAGUK scaffold protein 1 (DLG1), transcript variant 4, mRNA",1
"Burkholderia cenocepacia strain S59 16S ribosomal RNA gene, partial sequence",1
Burkholderia dolosa strain FDAARGOS_1545 chromosome 1,2
"Uncultured bacterium clone 1237 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone PET_Site1_LRC_1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Acidovorax radicis strain 79 chromosome, complete genome",1
"Uncultured bacterium clone 184 16S ribosomal RNA gene, partial sequence",1
"Cyclotrichium cyclokaryon isolate LWW07111501 28S ribosomal RNA gene, partial sequence",1
Xanthobacter autotrophicus strain GJ10 chromosome,1
"Roseibium aggregatum strain LZB033 chromosome, complete genome",1
"Acidovorax temperans strain S_WO.SB14.074 16S ribosomal RNA gene, partial sequence",2
"Synthetic construct Homo sapiens clone ccsbBroadEn_06288 GMDS gene, encodes complete protein",1
"Serratia ureilytica strain JBIWA004 chromosome, complete genome",3
"Methylibium petroleiphilum PM1, complete genome",1
"PREDICTED: Macaca fascicularis 40S ribosomal protein S3a-like (LOC102123730), mRNA",1
"Meles meles genome assembly, chromosome: 18",1
"Uncultured bacterium clone nck235c09c1 16S ribosomal RNA gene, partial sequence",1
"Burkholderia glumae strain BGK.AZ3 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone b88 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone C43 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens calnexin, mRNA (cDNA clone MGC:1196 IMAGE:3546389), complete cds",1
"Uncultured bacterium clone nbw488h12c1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone SupB3026 16S ribosomal RNA gene, partial sequence",1
"Phyllobacterium sp. T1018 chromosome, complete genome",8
"Methyloversatilis sp. strain 2-1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone G05V1S8 16S ribosomal RNA gene, partial sequence",1
"Dunaliella primolecta genome assembly, chromosome: 12",1
