qseqid,frequency
hypothetical protein E1956_42610 (plasmid) [Paraburkholderia pallida],26
hypothetical protein KY49_7051 [Burkholderia sp. MSHR3999],2
cell wall-associated hydrolase [uncultured bacterium A1Q1_fos_4],2
conserved hypothetical protein [Enterococcus faecalis T3],1
hypothetical protein Y601_3232 [Burkholderia pseudomallei MSHR640],6
hypothetical protein Lal_00001024 [Lupinus albus],2
hypothetical protein Lal_00014866 [Lupinus albus],2
"RPS2 protein, partial [Homo sapiens]",1
hypothetical protein mgI380 [Magnetospirillum gryphiswaldense MSR-1],1
No_Species,14
hypothetical protein CE205_22055 [Achromobacter insolitus],1
conserved hypothetical protein [Thiomonas sp. CB2],6
"Chain A, CRISPR-associated RAMP family protein",3
hypothetical protein Lal_00041211 [Lupinus albus],2
"hypothetical protein CSV68_16650, partial [Sporosarcina sp. P29]",2
hypothetical protein Lal_00014815 [Lupinus albus],2
"hypothetical protein AZ007_003353, partial [Citrobacter freundii]",1
"LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Brucella sp. 83/13]",1
hypothetical protein C2S51_026148 [Perilla frutescens var. frutescens],1
unnamed protein product [Anisakis simplex],3
hypothetical protein DBR45_61200 [Pseudomonas sp. HMWF031],1
hypothetical protein Lal_00008596 [Lupinus albus],2
Cell wall-associated hydrolase [Burkholderia pseudomallei],5
hypothetical protein PROSTU_01098 [Providencia stuartii ATCC 25827],2
hypothetical protein IST4131_06855 [Burkholderia cenocepacia],9
hypothetical protein S23_63860 [Bradyrhizobium cosmicum],1
PG1 protein [Bifidobacterium hapali],6
hypothetical protein IST495A_06018 [Burkholderia multivorans],8
conserved hypothetical protein [Burkholderia cenocepacia],4
hypothetical protein G6F57_018615 [Rhizopus arrhizus],1
conserved hypothetical protein [Magnetospirillum gryphiswaldense MSR-1],1
hypothetical protein Csp_D29530 [Curvibacter putative symbiont of Hydra magnipapillata],1
"MAG: DNA repair protein RadA, partial [Methyloversatilis sp. 12-65-5]",1
putative membrane protein [Burkholderia sp. RPE67],1
hypothetical protein Lal_00014961 [Lupinus albus],1
hypothetical protein BMULJ_05093 [Burkholderia multivorans ATCC 17616],1
RNAase [Rickettsia endosymbiont of Proechinophthirus fluctus],1
"hypothetical protein BVRB_037930, partial [Beta vulgaris subsp. vulgaris]",2
conserved hypothetical protein [Cupriavidus taiwanensis],1
bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD [Weissella cibaria],1
conserved hypothetical protein [Agrobacterium genomosp. 2 str. CFBP 5494],2
"hypothetical protein AZZ99_003607, partial [Serratia marcescens]",4
sulfate transport system permease protein [Phyllobacterium myrsinacearum],1
hypothetical protein CQA4T8M7_42260 [Sphaerotilus natans],1
glucoamylase family protein [Phyllobacterium sp. 628],1
hypothetical protein B7L73_13295 [Serratia marcescens],1
"Putative cytochrome c, class I [Candidatus Nitrosacidococcus tergens]",2
"hypothetical protein BVRB_041110, partial [Beta vulgaris subsp. vulgaris]",2
conserved protein [Tepidicaulis marinus],1
"hypothetical protein J759_4101, partial [Acinetobacter baumannii 24845_6]",2
conserved hypothetical protein [Burkholderia multivorans ATCC 17616],2
MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium],3
hypothetical protein [uncultured bacterium],1
"hypothetical protein, partial [bacterium]",1
hypothetical protein GCM10010946_36720 [Undibacterium squillarum],1
putative serine acetyltransferase [Burkholderia mallei],1
hypothetical protein BT62DRAFT_1060187 [Guyanagaster necrorhizus MCA 3950],1
hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata],3
hypothetical protein Y045_6146 [Burkholderia pseudomallei MSHR2451],1
unnamed protein product [Allacma fusca],1
dehydration responsive protein [Sporocytophaga myxococcoides],1
"hypothetical protein NM4119_1450, partial [Neisseria meningitidis 4119]",1
"hypothetical protein BVRB_033130, partial [Beta vulgaris subsp. vulgaris]",1
"hypothetical protein J496_3968, partial [Acinetobacter baumannii 1247182]",1
hypothetical protein CEW46_32875 [Bacillus cereus],1
histone deacetylase [Novimethylophilus kurashikiensis],2
conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578],1
hypothetical protein HMPREF0549_0166 [Limosilactobacillus vaginalis DSM 5837 = ATCC 49540],1
"hypothetical protein J761_4007, partial [Acinetobacter baumannii 24845_8]",1
hypothetical protein KY49_7050 [Burkholderia sp. MSHR3999],1
"hypothetical protein, partial [Bacillus mediterraneensis]",2
"hypothetical protein IscW_ISCW024385, partial [Ixodes scapularis]",1
conserved hypothetical protein [Rickettsia typhi str. Wilmington],1
putative uncharacterized protein [Carnobacterium maltaromaticum LMA28],1
hypothetical protein GCM10010946_36730 [Undibacterium squillarum],2
ribokinase [uncultured bacterium A1Q1_fos_4],1
"hypothetical protein, partial [Massilia oculi]",1
hypothetical protein B566_EDAN011677 [Ephemera danica],1
hypothetical protein DP49_5733 [Burkholderia pseudomallei],1
ATP-dependent Clp protease ATP-binding subunit [Weissella cibaria],1
hypothetical protein SASPL_124118 [Salvia splendens],1
"hypothetical protein B989_01850, partial [Brucella sp. 56/94]",1
AEC family transporter [Herbaspirillum sp. CAH-3],1
hypothetical protein [Phreatobacter oligotrophus],1
hypothetical protein SI859A1_01496 [Aurantimonas manganoxydans SI85-9A1],2
hypothetical protein DM77_3244 [Burkholderia mallei],1
"hypothetical protein Y001_00420, partial [Staphylococcus aureus MUF256]",1
hypothetical protein HMPREF9553_01204 [Escherichia coli MS 200-1],2
hypothetical protein DPQ31_29160 [Bacillus sp. COPE52],1
hypothetical protein FXW26_05315 [Candidatus Liberibacter asiaticus],4
hypothetical protein CTZ27_39065 [Streptomyces griseocarneus],1
hypothetical protein DRJ78_15870 [Enterococcus faecalis],1
conserved hypothetical protein [Listeria monocytogenes J2818],1
hypothetical protein PROVRETT_09379 [Providencia rettgeri DSM 1131],1
hypothetical protein FRC0190_01927 [Corynebacterium rouxii],1
hypothetical protein PROSTU_01440 [Providencia stuartii ATCC 25827],1
hypothetical protein [Methylomonas fluvii],1
hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.],2
hypothetical protein A8B94_11150 [Bordetella pertussis],2
"MAG: hypothetical protein ACD_16C00141G0001, partial [uncultured bacterium]",1
hypothetical protein CAP31_13600 [Sulfuriferula sp. AH1],1
RNAase [Staphylococcus aureus MUM270],1
GMC family oxidoreductase N-terminal domain-containing protein [Burkholderia stabilis],1
hypothetical protein A4T35_22435 [Escherichia coli],1
"RNA-dependent RNA polymerase, partial [Picobirnavirus sp.]",1
hypothetical protein B566_EDAN011676 [Ephemera danica],1
