qseqid,frequency
"uncharacterized protein LOC111735491, partial [Pteropus vampyrus]",4779
hypothetical protein HMPREF9439_01519 [Parasutterella excrementihominis YIT 11859],14
putative serine/threonine-protein kinase abkC [Pimephales promelas],114
"hypothetical protein Lal_00015069, partial [Lupinus albus]",3
"RNA-dependent RNA polymerase, partial [Picobirnavirus sp.]",4
hypothetical protein NFI96_003608 [Prochilodus magdalenae],114
TPA: hypothetical protein BOS_3344 [Bos taurus],14
hypothetical protein Lal_00005314 [Lupinus albus],3
hypothetical protein DAPPUDRAFT_118838 [Daphnia pulex],3
Uncharacterized protein TC_0114 [Curvibacter putative symbiont of Hydra magnipapillata],15
hypothetical protein CTZ27_38730 [Streptomyces griseocarneus],1
hypothetical protein MJG53_017363 [Ovis ammon polii x Ovis aries],16
MAG: hypothetical protein CFR70_13735 [Rhodocyclaceae bacterium],4
hypothetical protein PA7_29930 [Pseudonocardia asaccharolytica DSM 44247 = NBRC 16224],1
hypothetical protein AT53_00650 [Streptococcus equi subsp. zooepidemicus Sz5],1
conserved hypothetical protein [Brucella suis bv. 4 str. 40],2
conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578],19
hypothetical protein Lal_00041211 [Lupinus albus],3
hypothetical protein GCM10007242_51510 [Pigmentiphaga litoralis],5
hypothetical protein BMR85_025785 [Achromobacter sp. KAs 3-5],6
"hypothetical protein BVRB_020780, partial [Beta vulgaris subsp. vulgaris]",1
Cell wall-associated hydrolase [Burkholderia pseudomallei],20
unnamed protein product [Anisakis simplex],24
"hypothetical protein NFI96_007442, partial [Prochilodus magdalenae]",12
hypothetical protein B566_EDAN011676 [Ephemera danica],6
hypothetical protein CEAn_00237 [Coxiella endosymbiont of Amblyomma nuttalli],3
hypothetical protein (mitochondrion) [Botryococcus braunii],1
hypothetical protein Lal_00014815 [Lupinus albus],7
"hypothetical protein KXX11_004482, partial [Aspergillus fumigatus]",16
"hypothetical protein, partial [Virgibacillus profundi]",1
molybdopterin-dependent oxidoreductase [Acidovorax sp. 99],1
"hypothetical protein BR93DRAFT_475391, partial [Coniochaeta sp. PMI_546]",1
hypothetical protein F5Y13DRAFT_176420 [Hypoxylon sp. FL1857],1
unnamed protein product [Nyctereutes procyonoides],2
collagen alpha-1(I) chain-like [Equus caballus],3
DNA polymerase eta [Labeo rohita],10
hypothetical protein ENHYD8BJ_120026 [Enhydrobacter sp. 8BJ],1
hypothetical protein CQA28_25070 [Citrobacter freundii],9
hypothetical protein [uncultured beta proteobacterium HF0010_04H24],1
peptidyl-prolyl cis-trans isomerase H isoform X1 [Castor canadensis],13
"outer membrane protein B, partial [Rickettsia massiliae]",1
"Uncharacterized protein APZ42_008836, partial [Daphnia magna]",5
hypothetical protein PTKU64_89500 [Paraburkholderia terrae],6
Aa1-330 [Rattus norvegicus],1
"hypothetical protein ASPNIDRAFT_138531, partial [Aspergillus niger ATCC 1015]",2
"hypothetical protein C1646_622113, partial [Rhizophagus diaphanus]",1
"mFLJ00348 protein, partial [Mus musculus]",3
MULTISPECIES: site-specific integrase [Comamonadaceae],1
conserved hypothetical protein [Thiomonas sp. CB2],26
F0F1 ATP synthase subunit gamma [Rhodoferax saidenbachensis],1
hypothetical protein A8B94_11150 [Bordetella pertussis],6
hypothetical protein BgiMline_034841 [Biomphalaria glabrata],1
MBP8147486.1,1
hypothetical protein Lal_00014939 [Lupinus albus],13
conserved hypothetical protein [Cupriavidus taiwanensis],17
MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium],5
hypothetical protein L3Q82_023673 [Scortum barcoo],8
hypothetical protein Csp_D29590 [Curvibacter putative symbiont of Hydra magnipapillata],10
conserved hypothetical protein [Burkholderiales bacterium 8X],9
"MAG: carbon-phosphorus lyase, partial [Burkholderiales bacterium 34-67-9]",1
"hypothetical protein BVRB_037930, partial [Beta vulgaris subsp. vulgaris]",4
"Putative cytochrome c, class I [Candidatus Nitrosacidococcus tergens]",5
hypothetical protein MCOR34_011737 [Pyricularia oryzae],1
"hypothetical protein BVRB_041610, partial [Beta vulgaris subsp. vulgaris]",2
"hypothetical protein DRJ83_14975, partial [Enterococcus faecalis]",1
hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata],36
hypothetical protein DAPPUDRAFT_267663 [Daphnia pulex],1
hypothetical protein Csp_D29560 [Curvibacter putative symbiont of Hydra magnipapillata],6
MAG: hypothetical protein CBARDMAM_5813 [uncultured Caballeronia sp.],6
MBP8147928.1,1
RNAase [Rickettsia endosymbiont of Proechinophthirus fluctus],5
hypothetical protein TREES_T100019494 [Tupaia chinensis],12
hypothetical protein M011DRAFT_522610 [Sporormia fimetaria CBS 119925],1
"hypothetical protein K402DRAFT_301981, partial [Aulographum hederae CBS 113979]",2
hypothetical protein [uncultured bacterium A1Q1_fos_4],2
"hypothetical protein AcdelDRAFT_2240, partial [Acidovorax delafieldii 2AN]",10
Resolvase domain-containing protein [Mucilaginibacter paludis DSM 18603],1
hypothetical protein EJ07DRAFT_170251 [Lizonia empirigonia],2
hypothetical protein FQA39_LY18817 [Lamprigera yunnana],1
"hypothetical protein T03_15484, partial [Trichinella britovi]",2
Cell wall-associated hydrolase [Arcanobacterium haemolyticum],1
hypothetical protein U2A4042150018 [Corynebacterium striatum],2
hypothetical protein [Methylomonas fluvii],3
MCK9990637.1,5
hypothetical protein FRC0190_01927 [Corynebacterium rouxii],6
hypothetical protein FRACYDRAFT_202757 [Fragilariopsis cylindrus CCMP1102],1
hypothetical protein GCM10010946_36720 [Undibacterium squillarum],9
MULTISPECIES: hypothetical protein [Acidovorax],1
"hypothetical protein CWB66_17895, partial [Pseudoalteromonas sp. S558]",1
MBW0279191.1,1
Bm13240 [Brugia malayi],2
zinc finger protein OZF-like [Cervus canadensis],6
"hypothetical protein P170DRAFT_371616, partial [Aspergillus steynii IBT 23096]",1
conserved hypothetical protein [uncultured Pleomorphomonas sp.],2
MAG: cell wall-associated hydrolase [Marinobacter sp. T13-3],1
serine/arginine repetitive matrix protein 1-like [Serinus canaria],4
conserved hypothetical protein [Agrobacterium genomosp. 2 str. CFBP 5494],1
hypothetical protein Csp_D29630 [Curvibacter putative symbiont of Hydra magnipapillata],4
hypothetical protein C6P43_003241 [Kluyveromyces marxianus],1
PREDICTED: A-kinase anchor protein 13-like [Elephantulus edwardii],2
Ribokinase (EC 2.7.1.15) [Methylomonas fluvii],1
hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.],1
"hypothetical protein AZZ76_004805, partial [Klebsiella pneumoniae]",1
Hypothetical protein MCB1EB_0094 [Mycoavidus cysteinexigens],4
hypothetical protein [Acidovorax carolinensis],1
histone deacetylase [Novimethylophilus kurashikiensis],2
"hypothetical protein ANANG_G00294050, partial [Anguilla anguilla]",2
"hypothetical protein, partial [Acinetobacter baumannii]",3
hypothetical protein IST495A_06013 [Burkholderia multivorans],1
hypothetical protein COCHEDRAFT_1194902 [Bipolaris maydis C5],1
"hypothetical protein CAPTEDRAFT_122939, partial [Capitella teleta]",1
"PREDICTED: basic proline-rich protein-like, partial [Capra hircus]",4
MBP6341141.1,1
GFB07030.1,1
dexamethasone-induced protein [Macaca mulatta],1
30S ribosomal protein S17 [Methyloversatilis universalis],1
GEU28357.1,11
hypothetical protein L1887_60699 [Cichorium endivia],2
hypothetical protein Lal_00008596 [Lupinus albus],4
EamA family transporter [Acidovorax temperans],1
hypothetical protein G6F50_014710 [Rhizopus delemar],1
cell wall-associated hydrolase [uncultured bacterium A1Q1_fos_4],1
"hypothetical protein C3J82_28875, partial [Klebsiella pneumoniae subsp. pneumoniae]",11
hypothetical protein Lal_00014961 [Lupinus albus],1
hypothetical protein OIDMADRAFT_46664 [Oidiodendron maius Zn],1
hypothetical protein CEW46_32875 [Bacillus cereus],4
tenascin XB [Homo sapiens],2
Cell wall-associated hydrolase [Chromobacterium violaceum],5
hypothetical protein DSM25558_5494 [Agrobacterium sp. DSM 25558],1
hypothetical protein Ae201684_019037 [Aphanomyces euteiches],1
MCK9990638.1,1
UNKNOWN [Stylonychia lemnae],2
hypothetical protein DL98DRAFT_443369 [Cadophora sp. DSE1049],1
hypothetical protein L2E82_53328 [Cichorium intybus],1
SDR family oxidoreductase [Limnohabitans sp. B9-3],1
hypothetical protein HMPREF9956_2590 [Staphylococcus epidermidis 14.1.R1.SE],1
hypothetical protein [uncultured Acidobacteria bacterium HF4000_26D02],1
hypothetical protein GCM10011289_36180 [Paludibacterium paludis],1
hypothetical protein Lal_00027378 [Lupinus albus],1
hypothetical protein Csp_D29550 [Curvibacter putative symbiont of Hydra magnipapillata],7
hypothetical protein PSCICJ_51250 [Pseudomonas cichorii],1
glycerol kinase [Candidatus Liberibacter americanus],1
hypothetical protein Csp_D29610 [Curvibacter putative symbiont of Hydra magnipapillata],4
collagen alpha-1(I) chain-like [Caretta caretta],1
hypothetical protein Lal_00013845 [Lupinus albus],1
"unnamed protein product, partial [Onchocerca ochengi]",1
hypothetical protein Lal_00014931 [Lupinus albus],5
SKP1-interacting partner 15 [Aegilops tauschii subsp. strangulata],1
hypothetical protein ENHY17A_10190 [Moraxellaceae bacterium 17A],2
"hypothetical protein DMP16_08785, partial [Sulfolobus sp. B1]",1
hypothetical protein Lal_00008619 [Lupinus albus],1
hypothetical protein MHA_2707 [Mannheimia haemolytica PHL213],1
"Uncharacterized protein APZ42_007388, partial [Daphnia magna]",3
hypothetical protein KIW84_030564 [Pisum sativum],1
porin [Methyloversatilis universalis],1
hypothetical protein [uncultured Chromatiales bacterium HF0200_41F04],13
hypothetical protein [Pseudomonas phage ZCPA1],1
hypothetical protein HALTITAN_3297 [Halomonas titanicae BH1],3
HAV3900420.1,2
ribokinase [uncultured bacterium A1Q1_fos_4],1
hypothetical protein IEQ34_024692 [Dendrobium chrysotoxum],1
hypothetical protein RUMOBE_04124 [Blautia obeum ATCC 29174],1
hypothetical protein MASSI9I_51248 [Massilia sp. 9I],1
hypothetical protein FRC0190_02303 [Corynebacterium rouxii],1
"hypothetical protein KUM_1451, partial [Taylorella asinigenitalis 14/45]",2
heat resistance protein PsiE-GI [Stenotrophomonas maltophilia],1
hypothetical protein FN846DRAFT_652799 [Sphaerosporella brunnea],1
MBH2044060.1,1
hypothetical protein Csp_D29600 [Curvibacter putative symbiont of Hydra magnipapillata],1
hypothetical protein [Malikia granosa],1
"elongation factor 1-alpha, partial [Homo sapiens]",1
hypothetical protein Csp_D29570 [Curvibacter putative symbiont of Hydra magnipapillata],1
class II poly(R)-hydroxyalkanoic acid synthase [Pseudomonas aeruginosa],1
phosphonate C-P lyase system protein PhnG [Acidovorax temperans],1
GFB02402.1,1
hypothetical protein EJ07DRAFT_170242 [Lizonia empirigonia],1
hypothetical protein RKHAN_00293 [Rhizobium sp. Khangiran2],3
hypothetical protein L1887_60691 [Cichorium endivia],1
"hypothetical protein F947_00014, partial [Acinetobacter towneri DSM 14962 = CIP 107472]",2
"hypothetical protein KXX19_008146, partial [Aspergillus fumigatus]",1
Uncharacterised protein [Alcaligenes faecalis],3
Uncharacterized protein APZ42_005135 [Daphnia magna],9
MWQ62713.1,2
unnamed protein product [Brugia timori],3
conserved hypothetical protein [Pediculus humanus corporis],1
hypothetical protein THAOC_21439 [Thalassiosira oceanica],1
LOW QUALITY PROTEIN: ankyrin repeat and death domain-containing protein 1B [Ovis aries],2
"hypothetical protein K402DRAFT_344033, partial [Aulographum hederae CBS 113979]",3
hypothetical protein G6F57_018615 [Rhizopus arrhizus],3
