sseqid	sseq_name
VDN00566.1	unnamed protein product, partial [Onchocerca ochengi]
AOE11741.1	hypothetical protein [uncultured bacterium]
PKY18976.1	hypothetical protein RhiirB3_493147, partial [Rhizophagus irregularis]
PJR20445.1	hypothetical protein CER21_22065 [Klebsiella pneumoniae subsp. pneumoniae]
RGB21505.1	hypothetical protein C1646_732304, partial [Rhizophagus diaphanus]
CAG9262939.1	hypothetical protein BDI4_720048 [Burkholderia diffusa]
WP_115814248.1	hypothetical protein [Flavobacterium aquicola]
OYY06880.1	MAG: N-acetyl-gamma-glutamyl-phosphate reductase, partial [Polynucleobacter sp. 35-46-11]
KMS64973.1	hypothetical protein BVRB_040740, partial [Beta vulgaris subsp. vulgaris]
WP_212637408.1	hypothetical protein, partial [Enterococcus sp. 2F9_DIV0599]
CCG20004.1	Conserved hypothetical protein [Taylorella asinigenitalis 14/45]
EMC35989.1	hypothetical protein SMU94_09634, partial [Streptococcus mutans 66-2A]
EGU94778.1	hypothetical protein HMPREF9349_05350, partial [Escherichia coli MS 79-10]
WP_105734225.1	MULTISPECIES: GNAT family N-acetyltransferase [Phyllobacterium]
EEV31379.1	conserved hypothetical protein [Enterococcus casseliflavus EC30]
KAF1853623.1	hypothetical protein Lal_00030835 [Lupinus albus]
EDO57886.1	hypothetical protein CLOL250_01433 [Clostridium sp. L2-50]
EXC69480.1	hypothetical protein J473_3846, partial [Acinetobacter baumannii 1042969-1265]
MCE3238477.1	No_Species
WP_088757049.1	oxygen-independent coproporphyrinogen III oxidase [Herbaspirillum aquaticum]
XP_030654760.1	zinc finger protein 714-like [Nomascus leucogenys]
PZM35399.1	hypothetical protein DOL98_01460 [Salmonella enterica subsp. enterica serovar Derby]
EIB02005.1	hypothetical protein cco8_04560 [Campylobacter coli 151-9]
RSV20713.1	DNA primase [Sphingomonas sp. ABOLG]
WP_216196693.1	N-acetyl-gamma-glutamyl-phosphate reductase [Polynucleobacter sp. UK-Mo-2m-Kol15]
WP_059585180.1	MULTISPECIES: endopeptidase La [Burkholderia]
KPV71445.1	hypothetical protein RHOBADRAFT_19520, partial [Rhodotorula graminis WP1]
CRH30667.1	hypothetical protein BN1182_CD_00180 [Pantoea ananatis]
WP_071334725.1	low molecular weight protein-tyrosine-phosphatase [Burkholderia contaminans]
CWN17584.1	Cell wall-associated hydrolase [Neisseria meningitidis]
KZS00555.1	Uncharacterized protein APZ42_003108 [Daphnia magna]
KXS47217.1	MAG: cell wall-associated hydrolase [Marinobacter sp. T13-3]
WP_227162159.1	hypothetical protein, partial [Longicatena sp. 210702-DFI.1.100]
OKX69674.1	hypothetical protein AXD71_14890 [Listeria monocytogenes]
WP_237076042.1	hypothetical protein, partial [Proteus mirabilis]
ETJ14346.1	MAG: hypothetical protein Q614_SASC00081G0001, partial [Staphylococcus sp. DORA_6_22]
