qseqid,frequency
"Escherichia coli strain G3/10 chromosome, complete genome",1
"Phyllobacterium sp. T1018 chromosome, complete genome",23
"Herbaspirillum frisingense strain IAC152 chromosome, complete genome",5
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 2, complete sequence",4
"Meles meles genome assembly, chromosome: 20",1
"Burkholderia vietnamiensis strain FDAARGOS_1590 chromosome 1, complete sequence",1
MAG: Xanthobacteraceae bacterium isolate ACE_PRO9 chromosome,1
"Pseudosulfitobacter pseudonitzschiae strain MC36-1 chromosome, complete genome",1
"Escherichia coli strain 437024 chromosome, complete genome",2
"Uncultured bacterium clone F5K2Q4C04IYFSF 23S ribosomal RNA gene, partial sequence",2
"Escherichia coli strain 5-1 chromosome, complete genome",29
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XII,53
"Phyllobacterium myrsinacearum strain IAM 13584 23S ribosomal RNA gene, partial sequence",4
"Weissella confusa strain LM1 chromosome, complete genome",34
"Comamonas testosteroni strain T5-67 chromosome, complete genome",1
"Bacillus velezensis strain A4P130 chromosome, complete genome",3
"Klebsiella michiganensis strain 8-1 chromosome, complete genome",29
"Ottowia testudinis strain 27C chromosome, complete genome",3
"Ideonella dechloratans strain CCUG 30977 chromosome, complete genome",19
"Ralstonia wenshanensis strain 56D2 chromosome, complete genome",20
Homo sapiens isolate CHM13 chromosome 16,5
"Cryptococcus stepposus strain P25B002 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone BITS_UBP1_W27 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone 44L-2 16S ribosomal RNA gene, partial sequence",1
"Neotabrizicola shimadae strain N10 chromosome, complete genome",2
"Burkholderia rhizoxinica strain HKI 454 23S ribosomal RNA gene, complete sequence",2
"Homo sapiens tRNA-yW synthesizing protein 1 homolog (TYW1), RefSeqGene on chromosome 7",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 3, complete sequence",4
