qseqid,frequency
unnamed protein product [Anisakis simplex],41
hypothetical protein SAMN05443582_1226 [Phyllobacterium sp. OV277],8
hypothetical protein IST495A_06018 [Burkholderia multivorans],27
hypothetical protein H377_2860 [Rickettsia prowazekii str. Cairo 3],1
"hypothetical protein, partial [Massilia oculi]",1
MAG: hypothetical protein A2711_04160 [Burkholderiales bacterium RIFCSPHIGHO2_01_FULL_63_240],1
hypothetical protein Csp_D29530 [Curvibacter putative symbiont of Hydra magnipapillata],16
hypothetical protein NRS6202_04352 [Bacillus subtilis],5
"Chain A, CRISPR-associated RAMP family protein",462
"acetyl-CoA C-acyltransferase, partial [Burkholderia sp. LMG 13014]",1
hypothetical protein FORC28_1361 [Escherichia coli],5
hypothetical protein NIPOLPBK_04268 [Stenotrophomonas maltophilia],4
"hypothetical protein CIT14_21690, partial [Virgibacillus profundi]",21
histone deacetylase [Novimethylophilus kurashikiensis],14
conserved hypothetical protein [Burkholderia cenocepacia],18
hypothetical protein Lal_00015017 [Lupinus albus],24
conserved hypothetical protein [Thiomonas sp. CB2],67
hypothetical protein A8B94_11150 [Bordetella pertussis],48
hypothetical protein E1956_42610 (plasmid) [Paraburkholderia pallida],52
hypothetical protein SxD43FB_23030 [Sphingobium sp. D43FB],1
hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata],94
"hypothetical protein, partial [Vibrio cholerae]",2
conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578],70
"unnamed protein product, partial [Onchocerca ochengi]",9
No_Species,267
hypothetical protein KGMB02707_21570 [Mesosutterella multiformis],2
Cell wall-associated hydrolase [Burkholderia cenocepacia],57
hypothetical protein SMATCC274_39220 [Serratia marcescens],3
hypothetical protein Lal_00030835 [Lupinus albus],11
Uncharacterized protein {ECO:0000313|EMBL:EEH89636.1} [Pantoea ananatis],10
hypothetical protein BLA3211_03447 [Burkholderia aenigmatica],3
"hypothetical protein F5X68DRAFT_219000, partial [Plectosphaerella plurivora]",1
"hypothetical protein AZ021_003616, partial [Enterobacter ludwigii]",1
hypothetical protein Csp_D29560 [Curvibacter putative symbiont of Hydra magnipapillata],12
hypothetical protein HMPREF9349_05396 [Escherichia coli MS 79-10],3
"hypothetical protein A5874_001593, partial [Enterococcus faecium]",1
putative protein without homology [Lactobacillus crispatus ST1],9
hypothetical protein GCM10007242_51510 [Pigmentiphaga litoralis],8
hypothetical protein KY49_7050 [Burkholderia sp. MSHR3999],6
hypothetical protein Lal_00008596 [Lupinus albus],18
hypothetical protein GCM10009083_28580 [Halopseudomonas pertucinogena],2
Putative uncharacterized protein [Paenibacillus sp. P22],8
Tar1p [Saccharomyces cerevisiae S288C],16
"MAG: hypothetical protein FD188_1619, partial [Ignavibacteria bacterium]",1
cell wall-associated hydrolase [Brucella abortus NCTC 8038],10
hypothetical protein MARPO_4316s0001 [Marchantia polymorpha],1
MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium],17
hypothetical protein CE425_25025 [Salmonella enterica subsp. enterica serovar Senftenberg],19
"hypothetical protein A5853_002115, partial [Enterococcus faecium]",1
hypothetical protein GCM10007278_25540 [Paenalcaligenes hominis],3
MAG: 60 kDa chaperonin [Burkholderia gladioli],1
"hypothetical protein AZ037_005356, partial [Klebsiella michiganensis]",2
hypothetical protein KLMA_50540 [uncultured bacterium],20
hypothetical protein [uncultured Chromatiales bacterium HF0200_41F04],6
hypothetical protein WEIDD23_02117 [Weissella sp. DD23],48
"MAG: hypothetical protein Q614_SASC00081G0001, partial [Staphylococcus sp. DORA_6_22]",3
hypothetical protein DSM25559_0122 [Agrobacterium rosae],6
hypothetical protein SCH_2661 [Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67],4
hypothetical protein [Chromobacterium sp. ASV5],6
hypothetical protein PROSTU_01098 [Providencia stuartii ATCC 25827],15
uncharacterized protein YLR154C-G [Saccharomyces cerevisiae S288C],15
hypothetical protein KY49_7053 [Burkholderia sp. MSHR3999],41
Hypothetical protein WLH_01631 [Escherichia coli O25b:H4],6
conserved hypothetical protein [Listeria monocytogenes J2818],5
hypothetical protein B9L19_17025 [Geobacillus thermocatenulatus],1
hypothetical protein A4T35_22435 [Escherichia coli],4
conserved hypothetical protein [Cupriavidus taiwanensis],20
unnamed protein product [Allacma fusca],11
unnamed protein product [Brugia timori],15
Uncharacterized protein APZ42_003108 [Daphnia magna],13
hypothetical protein OIDMADRAFT_46664 [Oidiodendron maius Zn],5
hypothetical protein HMPREF9565_01483 [Cutibacterium acnes HL053PA2],1
hypothetical protein SMU60_09878 [Streptococcus mutans U138],1
conserved protein of unknown function [Citrobacter amalonaticus],1
hypothetical protein BCCH1_35530 [Burkholderia contaminans],1
Uncharacterised protein [Enterobacter cloacae],24
pG1 protein [uncultured bacterium 5G12],3
hypothetical protein [uncultured bacterium A1Q1_fos_4],27
"MAG: hypothetical protein ACD_16C00141G0001, partial [uncultured bacterium]",1
Putative uncharacterized protein [Mesorhizobium loti],9
hypothetical protein APU01nite_24020 [Alkalibacterium putridalgicola],8
hypothetical protein WOSG25_280020 [Weissella oryzae SG25],7
"hypothetical protein AZZ98_000514, partial [Serratia marcescens]",3
hypothetical protein VIBHAR_00001 [Vibrio campbellii ATCC BAA-1116],2
hypothetical protein U2A4042150018 [Corynebacterium striatum],2
Uncharacterised protein [Burkholderia pseudomallei],2
"putative Flagellar basal-body rod protein flgC (proximal rod protein), partial [Escherichia coli ONT:H33 str. C48/93]",12
hypothetical protein AWZ96_16010 [Shigella sonnei],9
"Uncharacterized protein APZ42_008836, partial [Daphnia magna]",30
glycosyltransferase [Aquabacterium sp. OR-4],1
"hypothetical protein, partial [Proteus mirabilis]",12
"hypothetical protein J6590_107792, partial [Homalodisca vitripennis]",2
conserved hypothetical protein [Enterococcus faecalis T3],1
"glyoxalase, partial [Komagataeibacter intermedius]",1
hypothetical protein Absy_048_002 [Acetobacter syzygii],15
"hypothetical protein DRJ78_16050, partial [Enterococcus faecalis]",1
hypothetical protein BMULJ_05097 [Burkholderia multivorans ATCC 17616],6
Protein TAR1 domain protein [Saccharomyces cerevisiae],3
hypothetical protein RKHAN_00042 [Rhizobium sp. Khangiran2],12
"hypothetical protein SOVF_214350, partial [Spinacia oleracea]",1
"hypothetical protein AZ007_003353, partial [Citrobacter freundii]",3
conserved hypothetical protein [Ligilactobacillus salivarius cp400],1
hypothetical protein A4T41_23450 [Escherichia coli],5
hypothetical protein BMR85_025785 [Achromobacter sp. KAs 3-5],28
DotG/IcmE/VirB10 family protein [Rhizobium rhizogenes],1
hypothetical protein Lal_00014923 [Lupinus albus],9
conserved protein [Lactiplantibacillus pentosus MP-10],8
hypothetical protein G653_04291 [Candidatus Liberibacter americanus PW_SP],13
hypothetical protein HALTITAN_3297 [Halomonas titanicae BH1],3
hypothetical protein A4T40_04410 [Escherichia coli],15
putative uncharacterized protein [Escherichia coli],14
hypothetical protein Lal_00014773 [Lupinus albus],16
hypothetical protein B566_EDAN011676 [Ephemera danica],24
hypothetical protein ADUPG1_003279 [Aduncisulcus paluster],2
"class I tRNA ligase family protein, partial [Mycobacterium tuberculosis]",1
hypothetical protein FPFC_051040 [Fructobacillus pseudoficulneus],9
"MAG: hypothetical protein Q609_ECAC02822G0001, partial [Escherichia coli DORA_A_5_14_21]",2
"cell wall-associated hydrolase, partial [Vibrio cholerae HC-43A1]",3
hypothetical protein Lal_00014866 [Lupinus albus],25
hypothetical protein [uncultured bacterium],49
hypothetical protein M433DRAFT_75466 [Acidomyces richmondensis BFW],5
TPA_inf: olfactory receptor OR6-12 [Homo sapiens],1
hypothetical protein AGABI2DRAFT_121457 [Agaricus bisporus var. bisporus H97],1
hypothetical protein mgI388 [Magnetospirillum gryphiswaldense MSR-1],4
"hypothetical protein B6K86_10260, partial [Lachnospiraceae bacterium]",5
"hypothetical protein, partial [Escherichia coli]",21
hypothetical protein CAP31_13600 [Sulfuriferula sp. AH1],3
"unnamed protein product, partial [Pararhodospirillum photometricum DSM 122]",10
"hypothetical protein C3J82_28875, partial [Klebsiella pneumoniae subsp. pneumoniae]",12
hypothetical protein NHU_03312 [Rhodovulum sulfidophilum],1
"hypothetical protein CSV68_16650, partial [Sporosarcina sp. P29]",6
"hypothetical protein, partial [Bacillus mediterraneensis]",27
"hypothetical protein HMPREF0693_3788, partial [Proteus mirabilis ATCC 29906]",5
conserved protein of unknown function [Xenorhabdus nematophila AN6/1],5
"sulfite dehydrogenase (quinone) subunit SoeC, partial [Candidatus Liberibacter sp.]",3
hypothetical protein SAMN02982989_5432 [Xaviernesmea oryzae],1
Uncharacterised protein [Actinobacillus pleuropneumoniae],5
"hypothetical protein ADUPG1_002177, partial [Aduncisulcus paluster]",3
"hypothetical protein, partial [Bacillus cereus]",1
hypothetical protein BWZ13_02000 [Lactobacillus iners],3
hypothetical protein CAC06_18225 [Escherichia coli],8
uncharacterized protein P170DRAFT_491069 [Aspergillus steynii IBT 23096],4
hypothetical protein BN167_2210001 [Clostridioides difficile E13],5
hypothetical protein GCM10010946_36730 [Undibacterium squillarum],7
serine incorporator 5 [Homo sapiens],1
ATP-dependent DNA helicase DDX11 isoform X6 [Macaca nemestrina],1
"Putative cytochrome c, class I [Candidatus Nitrosacidococcus tergens]",17
"hypothetical protein AZZ61_004112, partial [Klebsiella variicola]",9
"hypothetical protein CBF86_07615, partial [Limosilactobacillus reuteri]",26
hypothetical protein CDA59_06275 [Bacillus subtilis],1
hypothetical protein MTR_7g031847 [Medicago truncatula],37
hypothetical protein Csp_D29590 [Curvibacter putative symbiont of Hydra magnipapillata],4
conserved hypothetical protein [Roseibium sp. TrichSKD4],5
hypothetical protein Lal_00010714 [Lupinus albus],4
"hypothetical protein CWB66_17895, partial [Pseudoalteromonas sp. S558]",6
unknown [Zea mays],4
Conserved hypothetical protein [Taylorella asinigenitalis 14/45],4
hypothetical protein BTZ53_25125 [Vibrio parahaemolyticus],1
"hypothetical protein HMPREF0982_03464, partial [Erysipelotrichaceae bacterium 21_3]",1
