sseqid	sseq_name
KC951402.2	Homo sapiens clone FOS_0037, complete sequence
CP069102.1	Histoplasma capsulatum H88 chromosome 1
BX897739.8	Zebrafish DNA sequence from clone CH211-160J20 in linkage group 4, complete sequence
XR_005201572.1	PREDICTED: Cebus imitator U1 spliceosomal RNA (LOC119472418), ncRNA
AB920857.1	Uncultured Limnohabitans sp. gene for 16S rRNA, partial sequence
CP003002.1	Myceliophthora thermophila ATCC 42464 chromosome 1, complete sequence
XR_006366785.1	PREDICTED: Protopterus annectens 5S ribosomal RNA (LOC122814521), rRNA
CP060044.1	Chromobacterium vaccinii strain GIMC1601:ChrSima_w chromosome
AP023482.1	Homo sapiens DNA, chromosome 22, nearly complete genome
AC279678.1	Homo sapiens chromosome unknown clone VMRC59-448C19, complete sequence
XR_005006876.1	PREDICTED: Colossoma macropomum 28S ribosomal RNA (LOC118803513), rRNA
JX222724.1	Uncultured bacterium clone EMIRGE_OTU_s3t2d_1517 16S ribosomal RNA gene, partial sequence
KJ664533.1	Uncultured bacterium clone HTC1 16S ribosomal RNA gene, partial sequence
HQ993203.1	Nuchequula cf. nuchalis MPD-2011 28S ribosomal RNA gene, partial sequence
AC280233.1	Gorilla gorilla chromosome unknown clone CH277-272G22, complete sequence
AC013268.5	Homo sapiens BAC clone RP11-322F4 from 2, complete sequence
S76548.1	Y RNA {clone Y5-84, small RNA known as Ro RNA} [human, HeLa cells, Other Mutant, 85 nt]
LR962867.1	Bos taurus genome assembly, chromosome: 12
LR962754.1	Bos taurus genome assembly, chromosome: 23
XR_006248340.1	PREDICTED: Puntigrus tetrazona 28S ribosomal RNA (LOC122331981), rRNA
XR_006253225.1	Aspergillus chevalieri 28S ribosomal RNA (ACHE_r70002S), rRNA
XM_005579453.3	PREDICTED: Macaca fascicularis Yes1 associated transcriptional regulator (YAP1), transcript variant X10, mRNA
OK146907.1	Botryosphaeria dothidea isolate SD3-8 small subunit ribosomal RNA gene, partial sequence
CP007695.1	Brucella suis bv. 2 strain Bs143CITA chromosome I, complete sequence
AC221035.4	Homo sapiens FOSMID clone ABC12-47954900M11 from chromosome unknown, complete sequence
XR_005617285.1	PREDICTED: Pimephales promelas 5S ribosomal RNA (LOC120459145), rRNA
HG422153.1	Uncultured bacterium partial 16S rRNA gene, clone FYMB8_28
FJ263933.1	Chitinophagaceae bacterium HU1-ID41 16S ribosomal RNA gene, partial sequence
XR_004935278.1	PREDICTED: Mus musculus 5S ribosomal RNA (n-R5s125), rRNA
MW194281.1	Cynoglossus melampetalus isolate HW2500-21 small subunit ribosomal RNA gene, internal transcribed spacer 1, and 5.8S ribosomal RNA gene, complete sequence
JX813220.1	Uncultured bacterium clone HC1::G9RA0RH03F6M3D 16S ribosomal RNA gene, partial sequence
OL773520.1	Herminiimonas aquatilis strain 21LW1-65 16S ribosomal RNA gene, partial sequence
XM_045449561.1	PREDICTED: Leopardus geoffroyi annexin A2 (ANXA2), transcript variant X1, mRNA
XR_006609011.1	PREDICTED: Mustela putorius furo 28S ribosomal RNA (LOC123394298), rRNA
